"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"1574","Upper Ganga River ","Asia","India","","2005-11-08","2005-11-08","26590","28.55","78.2","Upper Ganga River (Brijghat to Narora Stretch). 08/11/05; Uttar Pradesh; 26,590 ha; 28°33'N 078°12'E. A shallow river stretch of the great Ganges with intermittent small stretches of deep-water pools and reservoirs upstream from barrages. The river provides habitat for IUCN Red listed Ganges River Dolphin, Gharial, Crocodile, 6 species of turtles, otters, 82 species of fish and more than hundred species of birds. Major plant species, some of which have high medicinal values, include Dalbergia sissoo, Saraca indica, Eucalyptus globulus, Ficus bengalensis, Dendrocalamus strictus, Tectona grandis, Azadirachta indica and aquatic Eichhorina. This river stretch has high Hindu religious importance for thousands of pilgrims and is used for cremation and holy baths for spiritual purification. Major threats are sewage discharge, agricultural runoff, and intensive fishing. Conservation activities carried out are plantation to prevent bank erosion, training on organic farming, and lobbying to ban commercial fishing. Ramsar site no. 1574. Most recent RIS information: 2005.","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools, Xf: Freshwater, tree-dominated wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Human-made wetlands, 9: Canals and drainage channels or ditches, 6: Water storage areas/Reservoirs, 4: Seasonally flooded agricultural land, 3: Irrigated land","205","183","No","Yes","Yes","Regulating Services, Hazard reduction, Provisioning Services, Fresh water, Wetland non-food products, Cultural Services, Scientific and educational, Spiritual and inspirational, Recreation and tourism","Natural system modifications, Dams and water management/use, Unspecified/others, Agriculture & aquaculture, Non specified, Biological resource use, Fishing and harvesting aquatic resources, Human settlements (non agricultural), Housing and urban areas, Pollution, Household sewage, urban waste water, Industrial and military effluents, Agricultural and forestry effluents","Uttar Pradesh","","","","No","No"
"2470","Satkosia Gorge","Asia","India","","2021-10-12","2022-08-03","98196.72","20.572409948954","84.8323480031092","<p>Established in 1976 as a wildlife sanctuary, Satkosia Gorge in Angul district of Odisha State is a mosaic of rivers, marshes and evergreen forests at the meeting point of two biogeographic regions, the Deccan Peninsula and the Eastern Ghats. These wetland habitats support a variety of plant and animal communities. Notable plant species include asan (<em>Terminalia alata</em>), dhaura (<em>Anogeissus latifolia</em>), simal (<em>Bombax ceiba</em>), Indian thorny bamboo (<em>Bambusa arundinacea</em>) and Calcutta bamboo (<em>Dendrocalamus strictus</em>); while animal species include red-crowned roofed turtle (<em>Batagur kachuga</em>), Indian narrow-headed softshell turtle (<em>Chitra indica</em>), tiger (<em>Panthera tigris</em>) and<em> </em>black-bellied tern (<em>Sterna acuticauda</em>).<em> </em>The wetland is also known for providing a variety of ecosystem services to surrounding communities like fishing, recharging of groundwater, climate regulation, and safety from floods. It also provides recreational and tourism opportunities and supports spiritual and cultural practices. Fire suppression, drought, drainage, and extreme temperatures are some of the high-impact threats affecting the ecological integrity of the Site.</p>","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Inland wetlands, M: Permanent rivers/ streams/ creeks","932","37","No","No","Yes","Provisioning Services, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Agriculture & aquaculture, Annual and perennial non-timber crops, Water regulation, Drainage, Water releases, Biological resource use, Gathering terrestrial plants, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Fire and fire suppression, Pollution, Agricultural and forestry effluents, Climate change & severe weather, Droughts, Temperature extremes, Human settlements (non agricultural), Tourism and recreation areas","Angul, Nayagarh,Boudha, Cuttack District,Odisha","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2484","Pala Wetland","Asia","India","","2021-08-31","2022-07-25","1850","22.1971003880099","92.9021981055417","<p>Pala Wetland is the largest natural wetland in the state of Mizoram. The Site includes a relatively deep lake (over 16 metres deep on average) and its surrounding forest catchment area which climbs to almost 600m above sea level. The wetland supports a rich diversity of animal species, including at least seven mammals, 222 birds, 11 amphibians and 21 reptiles. The low-lying marshy areas within the wetland provide excellent habitat for many herbivores such as sambar deer (<em>Cervus unicolor</em>), wild pig (<em>Sus scrofa</em>) and barking deer (<em>Muntiacus muntjak</em>). Various species of primate also inhabit the wetland, such as the endangered Hoolock gibbon (<em>Hoolock hoolock</em>) and Phayre&rsquo;s leaf monkey (<em>Trachypithecus phayrei</em>). Pala Wetland is revered by the local Mara people and has a deep connection with their history. The wetland is the major source of freshwater and fish for the villages at its fringe and also the major source of irrigation water for wet rice cultivation, horticulture and other forms of agriculture. Although classified as a Wetland Reserve by the national authorities, the Site is threatened by the construction of roads and railroads, hunting and collecting of land animals, illegal logging and wood harvesting. However, a management plan is being implemented to mitigate these threats.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, Xf: Freshwater, tree-dominated wetlands, O: Permanent freshwater lakes","589","274","No","Yes","Yes","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Cultural Services, Recreation and tourism, Scientific and educational, Spiritual and inspirational, Supporting Services, Biodiversity, Nutrient cycling, Pollination","Human settlements (non agricultural), Housing and urban areas, Water regulation, Canalisation and river regulation, Agriculture & aquaculture, Livestock farming and ranching, Transportation and service corridors, Roads and railroads, Biological resource use, Hunting and collecting terrestrial animals, Logging and wood harvesting, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Geological events, Earthquakes/tsunamis, Climate change & severe weather, Habitat shifting and alteration","Mizoram","","","","No","No"
"2474","Vembannur Wetland Complex","Asia","India","","2022-04-08","2022-08-03","19.746","8.18177773036239","77.37623101447809","<p>Vembannur Wetland is a human-made irrigation tank, situated a few kilometres inland in Kerala near the southernmost point of mainland India. The Site forms part of an Important Bird and Biodiversity Area (IBA) and it provides suitable habitat to several species of waterbird in the breeding and non-breeding seasons such as the Indian river tern (<em>Sterna aurantia</em>), the spotted greenshank (<em>Tringa guttifer</em>), the garganey (<em>Anas querquedula</em>) and the grey pelican (<em>Pelecanus philippensis</em>). The Site is also an excellent habitat for notable plants including <em>Indotristicha ramosissima</em>, <em>Cyrtococcum longipes</em> and <em>Eriochrysis rangacharii</em>. The wetland supports more than 2,000 hectares of agricultural land on which more than 1,000 families depend. It also supplies fish and drinking water to local communities while moderating the impacts of drought and floods, influencing the local microclimate, enhancing the beauty of the landscape, and providing many recreational opportunities. Vegetation clearance and land conversion, garbage and solid waste present moderate threats to the ecological integrity of the Site. Although a management plan has been prepared, the authorities are yet to start implementing it.</p>","No","Yes","Yes","Yes","No","Yes","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","19","19","No","No","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Hazard reduction, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Water regulation, Drainage, Water abstraction, Salinisation, Water releases, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Garbage and solid waste, Climate change & severe weather, Droughts, Habitat shifting and alteration, Temperature extremes, Storms and flooding","close to Bay of Bengal, comes under Melasankarankuzhi Panchayath; located 8km towards W from Nagercoil, 4km from Rajakkamangalam &736km from Chennai; surrounded by Kurunthancode,Nagercoil,Thackalai& Agastiswaram blocks towards W,E,N & E respectively","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2487","Ansupa Lake","Asia","India","","2021-10-12","2022-10-31","231","20.4602648542699","85.6031703829955","<p>Ansupa, a small freshwater oxbow lake formed by the Mahanadi river, is known nationally for its scenic beauty and rich biodiversity. Some 194 species of birds, 61 fish species, 244 macrophytes, 88 butterflies&nbsp;and 26 mammals are supported by the wetland. The lake provides a safe habitat to three endangered species, the Indian skimmer (<em>Rynchops albicollis</em>), the black-bellied tern (<em>Sterna acuticauda</em>) and the wagur (<em>Clarias magur</em>), and the vulnerable river tern (<em>Sterna aurantia</em>) and helicopter catfish (<em>Wallago attu</em>). It also sustains the water demands of the surrounding areas and supports the fishing and farming livelihoods of the local communities. It is connected with Mahanadi river by a small channel which is not currently functional, making the lake prone to drying during extreme droughts. Other threats such as soil erosion, sedimentation, weed infestation, and fisheries also face the lake and its biodiversity. A management plan has been prepared for the period from 2019 to 2024.</p>","No","Yes","No","No","No","No","Yes","Yes","No","Inland wetlands, O: Permanent freshwater lakes","58","30","No","No","Yes","Provisioning Services, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Water regulation, Water abstraction, Invasive and other problematic species and genes, Problematic native species, Pollution, Agricultural and forestry effluents, Climate change & severe weather, Droughts, Natural system modifications, Vegetation clearance/ land conversion, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Fishing and harvesting aquatic resources, Human settlements (non agricultural), Tourism and recreation areas, Agriculture & aquaculture, Annual and perennial non-timber crops","Subranpur, Cuttack, Odisha","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2494","Hirakud Reservoir","Asia","India","","2021-10-12","2022-10-31","65400","21.6107680375396","83.76645275707109","<p>Hirakud Reservoir is one of the largest man-made reservoirs in India, built across the Mahanadi River by a combination of earth and modern dams of a total length of almost 26 kilometres. The reservoir helps regulate the water level of the river and moderates the impact of floods in the Mahanadi Delta. It provides habitat for over 130 bird species and about 54 fish, with one classified as endangered and six others as near-threatened. 21 fish species are economically important to the region as they provide a total yield of 480 tonnes per year, supporting the livelihoods of over 7,000 fishermen. The reservoir also produces around 350 megawatts of hydropower and irrigates 436,000 hectares of land. The rich biodiversity and other recreational activities in and around the reservoir make it a popular tourist destination, with over 30,000 tourists visiting annually.</p>","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, P: Seasonal/ intermittent freshwater lakes","195","192","No","No","Yes","Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Cultural Services, Recreation and tourism, Scientific and educational, Spiritual and inspirational, Provisioning Services, Fresh water, Supporting Services, Biodiversity","Climate change & severe weather, Storms and flooding, Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Water regulation, Water releases, Agriculture & aquaculture, Marine and freshwater aquaculture, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Dams and water management/use, Pollution, Agricultural and forestry effluents","Bargarh district","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2489","Tampara Lake","Asia","India","","2021-10-12","2022-10-31","300","19.3507842864745","85.0011612413704","<p>The use of explosives during a battle in the Ganjam district between the British East India Company and French colonists in 1766 created a large depression which later became Tampara Lake. The lake is now connected to the Rushikulya river and helps in flood control during the monsoon season. The lake receives flood waters coming from the river, making its biodiversity highly vulnerable to extreme heat and dry weather. The wetland supports 60 species of birds and 46 fish species, including vulnerable species such as common carp (<em>Cyprinus carpio</em>), common pochard (<em>Aythya ferina</em>) and river tern (<em>Sterna aurantia</em>). With an estimated average fish yield of 12 tonnes per year, the wetland is an important source of livelihoods for the local communities. Along with fish, the wetland also provides water for agriculture and domestic use and is used for recreation. It also provides a water pathway for local transportation of goods.</p>","No","Yes","Yes","No","No","No","Yes","Yes","No","Marine or coastal wetlands, K: Coastal freshwater lagoons","10","7","No","No","In preparation","Supporting Services, Nutrient cycling, Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism","Water regulation, Water abstraction, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Problematic native species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Tourism and recreation areas, Climate change & severe weather, Droughts, Storms and flooding","Ganjam District, Odisha,India","","","Overlapping site categories, Non-statutory designations, Important Plant Area","No","No"
"2481","Pallikaranai Marsh Reserve Forest","Asia","India","","2022-04-08","2022-07-25","1247.537","12.9278457632948","80.22048445691421","<p>This freshwater marsh and partly saline wetland situated about 20 kilometres south of the city of Chennai serves as an aquatic buffer of the flood-prone Chennai and Chengalpattu districts. The diverse ecosystem of the marshland supports some 115 bird species, ten mammals, 21 reptiles, ten amphibians, 46 fish, nine molluscs, five crustaceans, and seven butterfly species. These include notable species such as Russell&rsquo;s viper (<em>Daboia siamensis</em>) and birds such as the glossy ibis (<em>Plegadis falcinellus</em>), grey-headed lapwings (<em>Vanellus cinereus</em>) and Pheasant-tailed jacana (<em>Hydrophasianus chirurgus</em>). Apart from its biodiversity value, the wetland also plays a vital role in the prevention of flooding for the city of Chennai, soaking up water during wet periods and releasing it during dry spells. Inhabitants of seven surrounding villages partially depend on the wetland for their subsistence. The Site is threatened by invasive and non-native species, household sewage, urban wastewater and droughts. In response, the Conservation Authority of Pallikaranai Marsh is currently implementing a site-specific management plan.</p>","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Inland wetlands, Ss: Seasonal/ intermittent saline/ brackish/ alkaline marshes/ pools, Marine or coastal wetlands, H: Intertidal marshes","4","2","No","No","Yes","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Hazard reduction, Climate regulation, Biological control of pests and disease, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Unspecified development, Water regulation, Water abstraction, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Non specified, Energy production and mining, Unspecified, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Unspecified/others, Natural system modifications, Vegetation clearance/ land conversion, Unspecified/others, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Industrial and military effluents, Garbage and solid waste, Air-borne pollutants, Excess heat, sound, light, Geological events, Unspecified, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Storms and flooding, Biological resource use, Unspecified","Chennai City","Overlapping site categories, Global international legal and other formal, Other global designation","Overlapping site categories, Regional international legal and other formal designations, Other international designation","Overlapping site categories, Non-statutory designations, Important Bird Area, Other non-statutory designation","No","No"
"2482","Pichavaram Mangrove ","Asia","India","","2022-04-08","2022-07-25","1478.642","11.4381652523081","79.7865861366778","<p>One of the largest mangrove ecosystems in India, located between the prominent estuaries of the Vellar and Coleroon Rivers, the Site features littoral and swamp forest habitats. It not only offers waterscape and backwater cruises but also another rare sight &ndash; the mangrove trees are permanently rooted in a few feet of water. The Site hosts a natural hybrid species, <em>Rhizophora annamalayana</em>, which is derived from two species of Rhizophora: <em>R.apiculata</em> and another natural hybrid <em>R.mucronata</em>. Like other mangrove wetlands in India, Pichavaram Mangrove supports several threatened species such as the critically endangered great white-bellied heron (<em>Ardea insignis</em>) and spoon-billed sandpiper (<em>Eurynorhynchus pygmeus</em>), the endangered spotted greenshank (<em>Tringa guttifer</em>) and the vulnerable olive ridley turtle (<em>Lepidochelys olivacea</em>). The Site also provides spawning and nursing ground for commercially important prawns, mainly white prawn (<em>Penaeus indicus</em>) and tiger prawn (<em>P. monodon</em>), crabs and fish. In addition to this exceptional biodiversity, the Site supports the livelihoods of over 1,000 families through artisanal fishing, firewood collection, non-timber forest product harvesting, and grazing lands for livestock. The mangroves are revered by the local communities due to the significant spiritual value associated with <em>Excoecaria agallocha</em>, a mangrove with toxic properties commonly known as &ldquo;Tillai&rdquo;. Despite being declared a Reserve Forest since 1893, the Site has no management plan.</p>","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands","6","6","No","No","No","Regulating Services, Hazard reduction, Erosion protection, Provisioning Services, Food for humans, Fresh water, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Water regulation, Salinisation, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Gathering terrestrial plants, Logging and wood harvesting, Fishing and harvesting aquatic resources, Hunting and collecting terrestrial animals, Energy production and mining, Mining and quarrying, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Household sewage, urban waste water, Industrial and military effluents","The Headquaters of the pichavaram Mangrove is located at Cuddalore town, in Cuddalore district,Tamil Nadu","","","","No","No"
"2479","Koonthankulam Bird Sanctuary ","Asia","India","","2021-11-08","2022-08-03","72.04000000000001","8.49569008662548","77.7539757001593","<p>The Site consists of irrigation tanks interconnected by a network of canals built a few centuries ago and fed by the rivers originating from the Western Ghats mountain range. Otherwise it only receives water only through seasonal monsoon rainfall. This wetland is the largest reserve for breeding resident and migratory waterbirds in South India. It is an Important Bird and Biodiversity Area (IBA) on the Central Asian Flyway. Notable waterbird species include Indian pond heron (<em>Ardeola grayii</em>), Eurasian wigeon (<em>Anas penelope</em>), spot-billed pelican (<em>Pelecanus philippensis</em>), oriental darter (<em>Anhinga melanogaster</em>) and Northern pintail (<em>Anas acuta</em>). The wetland supports rich social and cultural heritage as well as the agriculture which is the major source of local people&rsquo;s livelihoods. It also acts as a buffer against flooding during periods of extreme rainfall. It was declared a Bird Sanctuary in 1994; however some significant threats still affect the wetland including encroachments, household sewage and urban wastewater, the growth of shrimp farms, and other human activities.</p>","No","No","Yes","Yes","Yes","Yes","No","No","No","Human-made wetlands, 2: Ponds","75","69","No","Yes","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Climate regulation, Erosion protection, Cultural Services, Recreation and tourism, Spiritual and inspirational, Provisioning Services, Food for humans, Fresh water, Supporting Services, Biodiversity, Nutrient cycling, Soil formation, Pollination","Climate change & severe weather, Storms and flooding, Habitat shifting and alteration, Droughts, Temperature extremes, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Garbage and solid waste, Invasive and other problematic species and genes, Invasive non-native/ alien species, Natural system modifications, Vegetation clearance/ land conversion, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Fishing and harvesting aquatic resources, Human settlements (non agricultural), Housing and urban areas, Water regulation, Water releases, Water abstraction, Drainage, Agriculture & aquaculture, Livestock farming and ranching","Tirunelveli district","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2491","Chitrangudi Bird Sanctuary","Asia","India","","2021-11-08","2022-10-31","260.47","9.341197512981219","78.47798397389531","<p>This Site, locally known as &ldquo;Chitrangudi Kanmoli&rdquo;, is located in the village of Chitrangudi, adjacent to Kanjirankulam Bird Sanctuary in Ramanathapuram district. The wetland has been a protected area since 1989 and is also classed as an Important Bird and Biodiversity Area (IBA). There are 50 bird species found, including four near-threatened species. The Sanctuary is an important breeding ground for wintering birds such as spot-billed pelican (<em>Pelecanus philippensis</em>), painted stork (<em>Mycteria leucocephala</em>), little egret (<em>Egretta garzetta</em>)&nbsp;and grey heron (<em>Ardea cinerea</em>). It is also rich in medicinal plants such as holy basil<em> </em>(<em>Ocimum sanctum</em>) and flame lily (<em>Gloriosa superba</em>), the State flower of Tamil Nadu. Due to its rich biodiversity, the sanctuary is frequently visited by nature enthusiasts and birdwatchers. Despite being a hotspot for birds, the wetland water occasionally dries as its major sources are rainfall and run-off water. However, this feature also makes the wetland a buffering area during heavy rainfall and a sink for sediments and nutrients during flooding. The regional forest department undertakes regulation activities during the summer season to maintain the water level of the lake.</p>","No","No","Yes","Yes","No","Yes","No","No","No","Human-made wetlands, 2: Ponds","36","33","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Hazard reduction, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Pollution, Agricultural and forestry effluents, Household sewage, urban waste water, Climate change & severe weather, Temperature extremes, Droughts, Habitat shifting and alteration, Storms and flooding, Invasive and other problematic species and genes, Invasive non-native/ alien species, Natural system modifications, Vegetation clearance/ land conversion, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Fishing and harvesting aquatic resources, Agriculture & aquaculture, Livestock farming and ranching, Water regulation, Water releases, Salinisation, Water abstraction, Drainage, Human settlements (non agricultural), Housing and urban areas","Ramanathapuram","","Overlapping site categories, Regional international legal and other formal designations, Other international designation","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2493","Vaduvur Bird Sanctuary ","Asia","India","","2022-04-08","2022-10-31","112.638","10.7029805650868","79.3164600877619","<p>Vaduvur Bird Sanctuary is composed of small man-made reservoirs interconnected by an ancient network of canals and fed by the Mettur reservoir, in the semi-arid district of Thiruvarur. The rooted floating aquatic plants distributed through the reservoir provide habitat for around 118 bird species, including spot-billed pelican (<em>Pelecanus philippensis</em>), black-headed ibis (<em>Threskiornis melanocephalus</em>), Eurasian wigeon (<em>Mareca Penelope</em>), and northern pintail (<em>Anas acuta</em>). Similarly, the aquatic submerged and terrestrial vegetation in and around the wetland provide foraging and breeding habitat for the birds. The interconnected wetland system acts as a buffer against flooding and also provides water during periods of drought. The Sanctuary is threatened by increasing anthropogenic pressures related to urbanization, water abstraction, unsustainable fishing, invasive species and climate change, and so has been identified as an area of national importance by the national government. The Tiruvarur Forest Division implemented a management plan from 2016 to 2021 to counter these threats.</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","38","36","No","No","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Hazard reduction, Biological control of pests and disease, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Water regulation, Drainage, Water abstraction, Salinisation, Water releases, Climate change & severe weather, Storms and flooding, Habitat shifting and alteration, Droughts, Temperature extremes, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Garbage and solid waste","Is located on Thanjavur-Mannargudi highway, Thiruvarur District, Tamil Nadu; 22km from Thanjavur on Thanjavur–Mannargudi highway(SH-63), 45km from Thiruvarur, 58km from Udayamarthandapuram Bird Sanctuary& 50km from Point Calimere Sanctuary Block A","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2476","Udhayamarthandapuram Bird Sanctuary","Asia","India","","2022-04-08","2022-08-03","43.767","10.4505662155922","79.5547078238986","<p>The Sanctuary consists of human-made irrigation tanks, interconnected by an ancient network of canals and fed by the Mettur dam through the Koraiyar canal. The Site is an important staging and breeding ground for several species of waterbirds. Notable species observed include the oriental darter (<em>Anhinga melanogaster</em>), black-headed ibis (<em>Threskiornis melanocephalus</em>), Eurasian wigeon (<em>Anas Penelope</em>), Northern pintail (<em>Anas acuta</em>) and garganey (<em>Anas querquedula</em>). The Site provides the surrounding communities with fresh water for human consumption and also livestock and agriculture by storing floodwaters during the monsoon and maintaining surface water flow during drier periods. It also helps replenish groundwater and feeds surrounding smaller wetlands and agricultural land. The Site is threatened by storms, flooding, uncontrolled harvesting of aquatic resources, and recreation and tourism. There is a management plan available, but it is yet to be implemented.</p>","No","Yes","Yes","Yes","Yes","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","12","8","No","No","Yes","Supporting Services, Pollination, Nutrient cycling, Biodiversity, Soil formation, Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Hazard reduction, Cultural Services, Recreation and tourism","Water regulation, Water abstraction, Salinisation, Drainage, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Garbage and solid waste, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Storms and flooding, Human settlements (non agricultural), Housing and urban areas","The Sanctuary is located on Tiruthuraipoondi Taluk of Tiruvarur district in Tamil Nadu., and is located about 80 kilometres from Thanjavur, about 58km from Vaduvur Birds sanctuary and 10 km from Point Calimere Birds Sanctuary Block A. ","","","","No","No"
"2478","Sirpur Wetland","Asia","India","","2022-01-07","2022-08-03","161","22.6995105515976","75.8122811953984","<p>Sirpur Wetland is a human-made wetland that has stabilized and acquired near-natural characteristics in the last two centuries. Commonly named Pakshi Vihar (bird sanctuary), the Site is a shallow, alkaline, nutrient-rich lake that floods during the monsoon to a maximum depth of two metres. It boasts a wealth of plants and animals including threatened species: it supports some 175 terrestrial plant species, six macrophytes, 30 natural and cultured fish species, eight reptiles, and amphibians. Waterbirds congregate during the winter season; the Site supports 130 bird species in all, including residents and migrants such as common pochard (<em>Aythya ferina</em>), Egyptian vulture (<em>Neophron percnopterus</em>) and Indian river tern (<em>Sterna aurantia</em>). Sirpur Wetland provides surrounding communities with fisheries and medicinal plants, and acts as a buffer against flooding while helping to regulate the local microclimate. The local communities also accrue benefits through spiritual enrichment, recreation and education. The Site is yet to benefit from a management plan or a national legal conservation status.</p>","No","Yes","Yes","Yes","No","No","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","556","556","No","No","No","Provisioning Services, Food for humans, Genetic materials, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Climate regulation, Biological control of pests and disease, Hazard reduction, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Water regulation, Drainage, Water abstraction, Agriculture & aquaculture, Marine and freshwater aquaculture, Invasive and other problematic species and genes, Invasive non-native/ alien species, Climate change & severe weather, Temperature extremes","The wetland is situated in Indore District in the state of Madhya Pradesh","","Overlapping site categories, Regional international legal and other formal designations, Other international designation","","No","No"
